Month,MeanTemperature,DepartureFromNormalAverageTemperature,MaximumTemperature,MinimumTemperature
1,44.516129032258064,9.01290322580645,49.25806451612903,39.32258064516129
2,43.214285714285715,6.007142857142857,48.75,37.17857142857143
3,45.645161290322584,2.638709677419355,51.483870967741936,39.064516129032256
4,56.0,4.73,61.2,50.4
5,59.61290322580645,-0.6322580645161291,64.0,54.67741935483871
6,68.26666666666667,-1.4366666666666668,73.23333333333333,62.766666666666666
7,77.09677419354838,1.5129032258064516,80.90322580645162,72.6774193548387
8,74.83870967741936,-0.1935483870967742,78.87096774193549,70.3225806451613
9,70.73333333333333,1.2766666666666666,74.96666666666667,66.03333333333333
10,61.645161290322584,2.5677419354838706,66.90322580645162,55.67741935483871
11,48.733333333333334,-0.9466666666666667,54.86666666666667,42.1
12,45.36666666666667,5.1033333333333335,49.96666666666667,40.3
