Month,MeanTemperature,DepartureFromNormalAverageTemperature,MaximumTemperature,MinimumTemperature
1,44.58064516129032,8.670967741935485,51.064516129032256,37.54838709677419
2,44.92857142857143,6.828571428571429,52.67857142857143,36.67857142857143
3,47.483870967741936,2.7451612903225806,55.064516129032256,39.516129032258064
4,60.03333333333333,5.486666666666666,68.13333333333334,51.266666666666666
5,63.03225806451613,-0.8903225806451613,70.7741935483871,54.87096774193548
6,71.42307692307692,-2.2346153846153842,78.76923076923077,63.65384615384615
7,80.0,1.4333333333333333,86.51851851851852,72.96296296296296
8,77.41935483870968,0.7548387096774193,83.6774193548387,70.6774193548387
9,72.1,1.9266666666666665,78.2,65.5
10,61.58064516129032,2.8419354838709676,69.6774193548387,52.96774193548387
11,48.46666666666667,-1.1933333333333331,55.93333333333333,40.56666666666667
12,44.903225806451616,5.274193548387097,50.806451612903224,38.61290322580645
