Month,MeanTemperature,DepartureFromNormalAverageTemperature,MaximumTemperature,MinimumTemperature
1,43.645161290322584,-0.006451612903225826,51.225806451612904,35.645161290322584
2,39.107142857142854,-3.585714285714286,45.392857142857146,32.32142857142857
3,42.54838709677419,-0.8129032258064517,49.38709677419355,35.29032258064516
4,41.833333333333336,-3.3033333333333332,48.766666666666666,34.4
5,43.83870967741935,-3.57741935483871,50.903225806451616,36.225806451612904
6,49.0,-0.6133333333333333,57.36666666666667,39.96666666666667
7,50.645161290322584,1.3161290322580643,59.74193548387097,41.12903225806452
8,49.67741935483871,0.7258064516129032,58.41935483870968,40.41935483870968
9,50.666666666666664,2.2,58.833333333333336,42.13333333333333
10,50.32258064516129,2.5677419354838706,58.0,41.96774193548387
11,48.5,4.026666666666666,56.166666666666664,40.266666666666666
12,46.645161290322584,3.470967741935484,55.096774193548384,37.70967741935484
