Month,DaysWithGT001Precip,DaysWithGT010Precip,DaysWithGT32Temp,DaysWithGT90Temp,DaysWithLT0Temp,DaysWithLT32Temp,DepartureFromNormalAverageTemperature,DepartureFromNormalCoolingDegreeDays,DepartureFromNormalHeatingDegreeDays,DepartureFromNormalMaximumTemperature,DepartureFromNormalMinimumTemperature,DepartureFromNormalPrecipitation,MaximumTemperature,MeanTemperature,MinimumTemperature,TotalLiquidPrecipitation
1,5.0,2.0,4.0,0.0,0.0,0.0,-0.3,0.0,8.0,-0.6,0.1,-1.08,51.2,43.4,35.6,1.03
2,12.0,6.0,12.0,0.0,0.0,0.0,-3.8,0.0,107.0,-4.5,-3.1,3.49,45.5,38.9,32.3,6.11
3,9.0,5.0,5.0,0.0,0.0,0.0,-1.0,0.0,31.0,-2.0,-0.1,0.05,49.4,42.4,35.3,2.81
4,13.0,11.0,4.0,0.0,0.0,0.0,-3.6,0.0,108.0,-4.5,-2.7,2.23,48.8,41.6,34.4,4.78
5,13.0,8.0,1.0,0.0,0.0,0.0,-3.9,0.0,121.0,-4.7,-3.1,3.11,51.0,43.6,36.2,3.83
6,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,29.0,0.1,-2.0,-0.5,57.4,48.7,40.0,0.14
7,2.0,2.0,0.0,0.0,0.0,0.0,1.1,0.0,-35.0,2.0,0.2,-0.16,59.7,50.4,41.1,1.65
8,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,-15.0,1.3,-0.4,-2.21,58.4,49.4,40.4,0.21
9,1.0,1.0,0.0,0.0,0.0,0.0,2.2,0.0,-64.0,3.2,1.1,-1.16,59.0,50.6,42.2,0.7
10,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,-71.0,2.6,2.0,-0.86,58.0,50.0,42.0,0.0
11,2.0,2.0,0.0,0.0,0.0,0.0,3.8,0.0,-117.0,4.2,3.6,1.13,56.2,48.2,40.3,2.74
12,2.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,-100.0,4.6,1.8,-3.22,55.1,46.4,37.7,0.07
